No;Komoditas;Tanggal;Provinsi;Kota / Kelurahan;Pasar;Harga (Rp)
279;Telur Ayam;23/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;24500
280;Telur Ayam;23/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;26000
281;Telur Ayam;23/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;23000
282;Telur Ayam;23/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;24500
283;Telur Ayam;23/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;24500
284;Telur Ayam;23/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;24500
285;Telur Ayam;23/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;25000
286;Telur Ayam;23/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;23000
287;Telur Ayam;23/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;23000
288;Telur Ayam;23/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;23000
289;Telur Ayam;24/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;24000
