No;Komoditas;Tanggal;Provinsi;Kota / Kelurahan;Pasar;Harga (Rp)
140;Cabai Rawit Merah;11/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;41000
141;Cabai Rawit Merah;11/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;49000
142;Cabai Rawit Merah;11/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;50000
143;Cabai Rawit Merah;11/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;40000
144;Cabai Rawit Merah;11/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;42500
145;Cabai Rawit Merah;14/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;42500
146;Cabai Rawit Merah;14/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;40000
147;Cabai Rawit Merah;14/01/2019;Jawa Barat;Kota Depok;Pasar Agung;47500
148;Cabai Rawit Merah;14/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;35000
149;Cabai Rawit Merah;14/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;47500
150;Cabai Rawit Merah;14/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;40000
151;Cabai Rawit Merah;14/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;35000
152;Cabai Rawit Merah;14/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;35000
153;Cabai Rawit Merah;14/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;41000
154;Cabai Rawit Merah;14/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;34500
155;Cabai Rawit Merah;14/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;45000
156;Cabai Rawit Merah;14/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;46000
157;Cabai Rawit Merah;14/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;41000
158;Cabai Rawit Merah;14/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;40000
159;Cabai Rawit Merah;14/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;45000
160;Cabai Rawit Merah;14/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;45000
161;Cabai Rawit Merah;14/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;35000
162;Cabai Rawit Merah;14/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;42500
163;Cabai Rawit Merah;15/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;42500
164;Cabai Rawit Merah;15/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;40000
165;Cabai Rawit Merah;15/01/2019;Jawa Barat;Kota Depok;Pasar Agung;47500
166;Cabai Rawit Merah;15/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;35000
167;Cabai Rawit Merah;15/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;47500
168;Cabai Rawit Merah;15/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;40000
169;Cabai Rawit Merah;15/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;33500
170;Cabai Rawit Merah;15/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;35000
171;Cabai Rawit Merah;15/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;41000
172;Cabai Rawit Merah;15/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;34500
173;Cabai Rawit Merah;15/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;44000
174;Cabai Rawit Merah;15/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;45500
175;Cabai Rawit Merah;15/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;41000
176;Cabai Rawit Merah;15/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;40000
177;Cabai Rawit Merah;15/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;44000
178;Cabai Rawit Merah;15/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;40000
179;Cabai Rawit Merah;15/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;35000
180;Cabai Rawit Merah;15/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;42500
181;Cabai Rawit Merah;16/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;42500
182;Cabai Rawit Merah;16/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;40000
183;Cabai Rawit Merah;16/01/2019;Jawa Barat;Kota Depok;Pasar Agung;45000
184;Cabai Rawit Merah;16/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;35000
185;Cabai Rawit Merah;16/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;50000
186;Cabai Rawit Merah;16/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;40000
187;Cabai Rawit Merah;16/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;33500
188;Cabai Rawit Merah;16/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;35000
189;Cabai Rawit Merah;16/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;42000
190;Cabai Rawit Merah;16/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;36500
191;Cabai Rawit Merah;16/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;40000
192;Cabai Rawit Merah;16/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;45500
193;Cabai Rawit Merah;16/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;41000
194;Cabai Rawit Merah;16/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;43000
195;Cabai Rawit Merah;16/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;40000
196;Cabai Rawit Merah;16/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;40000
197;Cabai Rawit Merah;16/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;32500
198;Cabai Rawit Merah;16/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;42500
199;Cabai Rawit Merah;17/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;42500
200;Cabai Rawit Merah;17/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;40000
201;Cabai Rawit Merah;17/01/2019;Jawa Barat;Kota Depok;Pasar Agung;45000
202;Cabai Rawit Merah;17/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;35000
203;Cabai Rawit Merah;17/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;50000
204;Cabai Rawit Merah;17/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;40000
205;Cabai Rawit Merah;17/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;33500
206;Cabai Rawit Merah;17/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;35000
207;Cabai Rawit Merah;17/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;42000
208;Cabai Rawit Merah;17/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;36500
209;Cabai Rawit Merah;17/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;45000
210;Cabai Rawit Merah;17/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;44000
211;Cabai Rawit Merah;17/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;43000
212;Cabai Rawit Merah;17/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;44000
213;Cabai Rawit Merah;17/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;40000
214;Cabai Rawit Merah;17/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;40000
215;Cabai Rawit Merah;17/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;32500
216;Cabai Rawit Merah;17/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Manonjaya;42500
217;Cabai Rawit Merah;18/01/2019;Jawa Barat;Kota Bekasi;Pasar Kranji;42500
218;Cabai Rawit Merah;18/01/2019;Jawa Barat;Kota Bekasi;Pasar Pondok Gede;40000
219;Cabai Rawit Merah;18/01/2019;Jawa Barat;Kota Depok;Pasar Agung;42500
220;Cabai Rawit Merah;18/01/2019;Jawa Barat;Kota Depok;Pasar Cisalak;35000
221;Cabai Rawit Merah;18/01/2019;Jawa Barat;Kota Bandung;Pasar Kosambi;50000
222;Cabai Rawit Merah;18/01/2019;Jawa Barat;Kota Bandung;Pasar Kiara Condong;40000
223;Cabai Rawit Merah;18/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Pancasila;31000
224;Cabai Rawit Merah;18/01/2019;Jawa Barat;Kota Tasikmalaya;Pasar Cikurubuk;35000
225;Cabai Rawit Merah;18/01/2019;Jawa Barat;Kota Bogor;Pasar Anyar;39000
226;Cabai Rawit Merah;18/01/2019;Jawa Barat;Kota Bogor;Pasar Warung Jambu 2;36500
227;Cabai Rawit Merah;18/01/2019;Jawa Barat;Kota Cirebon;Pasar Kanoman;50000
228;Cabai Rawit Merah;18/01/2019;Jawa Barat;Kota Cirebon;Pasar Kramat;44000
229;Cabai Rawit Merah;18/01/2019;Jawa Barat;Kota Sukabumi;Pasar Gudang;42000
230;Cabai Rawit Merah;18/01/2019;Jawa Barat;Kota Sukabumi;Pasar Pelita;44000
231;Cabai Rawit Merah;18/01/2019;Jawa Barat;Kab. Cirebon;Pasar Weru;49000
232;Cabai Rawit Merah;18/01/2019;Jawa Barat;Kab. Cirebon;Pasar Mundu;40000
233;Cabai Rawit Merah;18/01/2019;Jawa Barat;Kab. Tasikmalaya;Pasar Singaparna;30000
